Date,Product,Category,Quantity,Price,Revenue
2024-01-03,Wireless Mouse,Electronics,5,499,2495
2024-01-04,Bluetooth Speaker,Electronics,2,1299,2598
2024-01-05,Notebook Set,Stationery,10,60,600
2024-01-06,Office Chair,Furniture,1,4500,4500
2024-01-07,Wireless Mouse,Electronics,3,499,1497
2024-01-08,Desk Lamp,Furniture,4,799,3196
2024-01-09,Ballpoint Pen,Stationery,20,10,200
2024-01-10,Bluetooth Speaker,Electronics,1,1299,1299
2024-01-11,Notebook Set,Stationery,7,60,420
2024-01-12,Office Chair,Furniture,2,4500,9000
2024-01-13,Wireless Mouse,Electronics,8,499,3992
2024-01-14,Desk Lamp,Furniture,3,799,2397
2024-01-15,Ballpoint Pen,Stationery,15,10,150
2024-01-16,Bluetooth Speaker,Electronics,4,1299,5196
2024-01-17,Notebook Set,Stationery,12,60,720
2024-01-18,Office Chair,Furniture,1,4500,4500
2024-01-19,Wireless Mouse,Electronics,6,499,2994
2024-01-20,Desk Lamp,Furniture,2,799,1598
2024-01-21,Ballpoint Pen,Stationery,25,10,250
2024-01-22,Bluetooth Speaker,Electronics,3,1299,3897
2024-01-23,Notebook Set,Stationery,9,60,540
2024-01-24,Office Chair,Furniture,,4500,
2024-01-25,Wireless Mouse,Electronics,4,499,1996
2024-01-26,Desk Lamp,Furniture,5,799,3995
2024-01-27,Ballpoint Pen,Stationery,18,10,180
2024-01-28,Bluetooth Speaker,Electronics,2,1299,2598
2024-01-29,Notebook Set,Stationery,,60,
2024-01-30,Office Chair,Furniture,3,4500,13500
2024-01-31,Wireless Mouse,Electronics,7,499,3493
2024-02-01,Desk Lamp,Furniture,4,799,3196
2024-02-02,Ballpoint Pen,Stationery,22,10,220
2024-02-03,Bluetooth Speaker,Electronics,5,1299,6495
2024-02-04,Notebook Set,Stationery,11,60,660
2024-02-05,Office Chair,Furniture,2,4500,9000
2024-02-06,Wireless Mouse,Electronics,9,499,4491
2024-02-06,Wireless Mouse,Electronics,9,499,4491
2024-02-07,Desk Lamp,Furniture,1,799,799
2024-02-08,Ballpoint Pen,Stationery,30,10,300
2024-02-09,Bluetooth Speaker,Electronics,6,1299,7794
2024-02-10,Notebook Set,Stationery,8,60,480
